▲ Next.js 16.2.3 (webpack)
- Local:         http://localhost:3000
- Network:       http://0.0.0.0:3000
✓ Ready in 374ms

○ Compiling / ...
 GET / 200 in 5.6s (next.js: 5.3s, application-code: 313ms)
 GET / 200 in 6.3s (next.js: 6.0s, application-code: 320ms)
 GET / 200 in 113ms (next.js: 4ms, application-code: 110ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 51ms (next.js: 2ms, application-code: 49ms)
 GET / 200 in 48ms (next.js: 3ms, application-code: 45ms)
 GET / 200 in 115ms (next.js: 3ms, application-code: 112ms)
 GET / 200 in 86ms (next.js: 3ms, application-code: 83ms)
 GET / 200 in 50ms (next.js: 3ms, application-code: 47ms)
 GET / 200 in 83ms (next.js: 3ms, application-code: 80ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 51ms (next.js: 2ms, application-code: 48ms)
 GET / 200 in 43ms (next.js: 1884µs, application-code: 41ms)
 GET / 200 in 43ms (next.js: 1898µs, application-code: 41ms)
 GET / 200 in 43ms (next.js: 1720µs, application-code: 41ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 66ms (next.js: 1903µs, application-code: 64ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 41ms (next.js: 1384µs, application-code: 39ms)
 GET / 200 in 48ms (next.js: 2ms, application-code: 46ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 42ms)
 GET / 200 in 44ms (next.js: 3ms, application-code: 40ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 35ms (next.js: 1348µs, application-code: 34ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 35ms)
 GET / 200 in 39ms (next.js: 2ms, application-code: 37ms)
 GET / 200 in 38ms (next.js: 2ms, application-code: 36ms)
 GET / 200 in 42ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 34ms (next.js: 1672µs, application-code: 32ms)
 GET / 200 in 36ms (next.js: 1465µs, application-code: 35ms)
 GET / 200 in 38ms (next.js: 1606µs, application-code: 36ms)
 GET / 200 in 45ms (next.js: 2ms, application-code: 43ms)
 GET / 200 in 42ms (next.js: 3ms, application-code: 39ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 52ms (next.js: 3ms, application-code: 49ms)
 GET / 200 in 40ms (next.js: 2ms, application-code: 38ms)
 GET / 200 in 42ms (next.js: 1332µs, application-code: 40ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 43ms (next.js: 3ms, application-code: 41ms)
 GET / 200 in 41ms (next.js: 1801µs, application-code: 39ms)
 GET / 200 in 49ms (next.js: 2ms, application-code: 46ms)
 GET / 200 in 48ms (next.js: 1461µs, application-code: 47ms)
 GET / 200 in 46ms (next.js: 3ms, application-code: 43ms)
 GET / 200 in 52ms (next.js: 2ms, application-code: 50ms)
 GET / 200 in 38ms (next.js: 1913µs, application-code: 36ms)
 GET / 200 in 49ms (next.js: 3ms, application-code: 46ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 43ms (next.js: 1619µs, application-code: 42ms)
 GET / 200 in 43ms (next.js: 1430µs, application-code: 42ms)
 GET / 200 in 53ms (next.js: 3ms, application-code: 50ms)
 GET / 200 in 47ms (next.js: 2ms, application-code: 45ms)
 GET / 200 in 36ms (next.js: 1641µs, application-code: 34ms)
 GET / 200 in 49ms (next.js: 1577µs, application-code: 47ms)
 GET / 200 in 50ms (next.js: 1406µs, application-code: 48ms)
 GET / 200 in 44ms (next.js: 2ms, application-code: 42ms)
 GET / 200 in 41ms (next.js: 3ms, application-code: 38ms)
 GET / 200 in 46ms (next.js: 1845µs, application-code: 44ms)
 GET / 200 in 50ms (next.js: 1765µs, application-code: 48ms)
 GET / 200 in 43ms (next.js: 2ms, application-code: 41ms)
 GET / 200 in 37ms (next.js: 2ms, application-code: 34ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
 GET / 200 in 54ms (next.js: 2ms, application-code: 52ms)
 GET / 200 in 52ms (next.js: 1959µs, application-code: 50ms)
 GET / 200 in 57ms (next.js: 2ms, application-code: 55ms)
 GET / 200 in 51ms (next.js: 3ms, application-code: 48ms)
 GET / 200 in 43ms (next.js: 2ms, application-code: 40ms)
 GET / 200 in 57ms (next.js: 3ms, application-code: 54ms)
 GET / 200 in 54ms (next.js: 1932µs, application-code: 52ms)
 GET / 200 in 47ms (next.js: 3ms, application-code: 45ms)
 GET / 200 in 53ms (next.js: 2ms, application-code: 51ms)
 GET / 200 in 57ms (next.js: 3ms, application-code: 54ms)
 GET / 200 in 53ms (next.js: 3ms, application-code: 51ms)
 GET / 200 in 50ms (next.js: 2ms, application-code: 48ms)
 GET / 200 in 56ms (next.js: 2ms, application-code: 54ms)
 GET / 200 in 55ms (next.js: 3ms, application-code: 52ms)
 GET / 200 in 48ms (next.js: 4ms, application-code: 44ms)
 GET / 200 in 52ms (next.js: 1908µs, application-code: 50ms)
 GET / 200 in 56ms (next.js: 4ms, application-code: 52ms)
